air_force_blue_raf,"azul",#5d8aa8,93,138,168
air_force_blue_usaf,"azul Marino",#00308f,0,48,143
air_superiority_blue,"azul Claro",#72a0c1,114,160,193
alabama_crimson,"granate",#a32638,163,38,56
alice_blue,"blanco",#f0f8ff,240,248,255
alizarin_crimson,"rojo",#e32636,227,38,54
alloy_orange,"naranja",#c46210,196,98,16
almond,"beige",#efdecd,239,222,205
amaranth,"granate",#e52b50,229,43,80
amber,"amarillo",#ffbf00,255,191,0
amber_sae_ece,"naranja",#ff7e00,255,126,0
american_rose,"rojo",#ff033e,255,3,62
amethyst,"lila",#96c,153,102,204
android_green,"verde",#a4c639,164,198,57
anti_flash_white,"blanco",#f2f3f4,242,243,244
antique_brass,"marron",#cd9575,205,149,117
antique_fuchsia,"lila",#915c83,145,92,131
antique_ruby,"granate",#841b2d,132,27,45
antique_white,"beige",#faebd7,250,235,215
ao_english,"verde",#008000,0,128,0
apple_green,"verde",#8db600,141,182,0
apricot,"beige",#fbceb1,251,206,177
aqua,"azul claro",#0ff,0,255,255
aquamarine,"verde claro",#7fffd4,127,255,212
army_green,"caqui",#4b5320,75,83,32
arsenic,"gris",#3b444b,59,68,75
arylide_yellow,"amarillo",#e9d66b,233,214,107
ash_grey,"gris",#b2beb5,178,190,181
asparagus,"caqui",#87a96b,135,169,107
atomic_tangerine,"naranja",#f96,255,153,102
auburn,"rojo",#a52a2a,165,42,42
aureolin,"amarillo",#fdee00,253,238,0
aurometalsaurus,"gris",#6e7f80,110,127,128
avocado,"verde",#568203,86,130,3
azure,"azul",#007fff,0,127,255
azure_mist_web,"azul claro",#f0ffff,240,255,255
baby_blue,"azul claro",#89cff0,137,207,240
baby_blue_eyes,"azul claro",#a1caf1,161,202,241
baby_pink,"rosa",#f4c2c2,244,194,194
ball_blue,"azul",#21abcd,33,171,205
banana_mania,"amarillo",#fae7b5,250,231,181
banana_yellow,"amarillo",#ffe135,255,225,53
barn_red,"rojo",#7c0a02,124,10,2
battleship_grey,"gris",#848482,132,132,130
bazaar,"lila",#98777b,152,119,123
beau_blue,"azul claro",#bcd4e6,188,212,230
beaver,"beige",#9f8170,159,129,112
beige,"beige",#f5f5dc,245,245,220
big_dip_o_ruby,"rojo",#9c2542,156,37,66
bisque,"beige",#ffe4c4,255,228,196
bistre,"marron",#3d2b1f,61,43,31
bittersweet,"naranja",#fe6f5e,254,111,94
bittersweet_shimmer,"rojo",#bf4f51,191,79,81
black,"negro",#000,0,0,0
black_bean,"narron",#3d0c02,61,12,2
black_leather_jacket,"verde oscuro",#253529,37,53,41
black_olive,"gris",#3b3c36,59,60,54
blanched_almond,"beige",#ffebcd,255,235,205
blast_off_bronze,"marron",#a57164,165,113,100
bleu_de_france,"azul",#318ce7,49,140,231
blizzard_blue,"azul claro",#ace5ee,172,229,238
blond,"amarillo",#faf0be,250,240,190
blue,"azul",#00f,0,0,255
blue_bell,"lila",#a2a2d0,162,162,208
blue_crayola,"azul",#1f75fe,31,117,254
blue_gray,"azul claro",#69c,102,153,204
blue_green,"azul",#0d98ba,13,152,186
blue_munsell,"azul",#0093af,0,147,175
blue_ncs,"azul",#0087bd,0,135,189
blue_pigment,"azul marino",#339,51,51,153
blue_ryb,"azul",#0247fe,2,71,254
blue_sapphire,"azul marino",#126180,18,97,128
blue_violet,"lila",#8a2be2,138,43,226
blush,"rosa",#de5d83,222,93,131
bole,"marron",#79443b,121,68,59
bondi_blue,"azul",#0095b6,0,149,182
bone,"beige",#e3dac9,227,218,201
boston_university_red,"rojo",#c00,204,0,0
bottle_green,"verde oscuro",#006a4e,0,106,78
boysenberry,"rosa",#873260,135,50,96
brandeis_blue,"azul",#0070ff,0,112,255
brass,"amarillo",#b5a642,181,166,66
brick_red,"rojo",#cb4154,203,65,84
bright_cerulean,"azul",#1dacd6,29,172,214
bright_green,"verde claro",#6f0,102,255,0
bright_lavender,"lila",#bf94e4,191,148,228
bright_maroon,"rojo",#c32148,195,33,72
bright_pink,"rosa",#ff007f,255,0,127
bright_turquoise,"azul claro",#08e8de,8,232,222
bright_ube,"lila",#d19fe8,209,159,232
brilliant_lavender,"lila",#f4bbff,244,187,255
brilliant_rose,"rosa",#ff55a3,255,85,163
brink_pink,"rosa",#fb607f,251,96,127
british_racing_green,"verde oscuro",#004225,0,66,37
bronze,"marron",#cd7f32,205,127,50
brown_traditional,"marron",#964b00,150,75,0
brown_web,"rojo",#a52a2a,165,42,42
bubble_gum,"rosa",#ffc1cc,255,193,204
bubbles,"blanco",#e7feff,231,254,255
buff,"naranja",#f0dc82,240,220,130
bulgarian_rose,"rojo",#480607,72,6,7
burgundy,"granate",#800020,128,0,32
burlywood,"beige",#deb887,222,184,135
burnt_orange,"naranja",#c50,204,85,0
burnt_sienna,"naranja",#e97451,233,116,81
burnt_umber,"marron",#8a3324,138,51,36
byzantine,"rosa",#bd33a4,189,51,164
byzantium,"lila",#702963,112,41,99
cadet,"gris",#536872,83,104,114
cadet_blue,"azul claro",#5f9ea0,95,158,160
cadet_grey,"gris",#91a3b0,145,163,176
cadmium_green,"verde",#006b3c,0,107,60
cadmium_orange,"naranja",#ed872d,237,135,45
cadmium_red,"rojo",#e30022,227,0,34
cadmium_yellow,"amarillo",#fff600,255,246,0
caf_au_lait,"marron",#a67b5b,166,123,91
caf_noir,"marron",#4b3621,75,54,33
cal_poly_green,"verde",#1e4d2b,30,77,43
cambridge_blue,"azul claro",#a3c1ad,163,193,173
camel,"marron",#c19a6b,193,154,107
cameo_pink,"rosa",#efbbcc,239,187,204
camouflage_green,"caqui",#78866b,120,134,107
canary_yellow,"amarillo",#ffef00,255,239,0
candy_apple_red,"rojo",#ff0800,255,8,0
candy_pink,"rosa pastel",#e4717a,228,113,122
capri,"azul",#00bfff,0,191,255
caput_mortuum,"marron",#592720,89,39,32
cardinal,"rojo",#c41e3a,196,30,58
caribbean_green,"verde claro",#0c9,0,204,153
carmine,"granate",#960018,150,0,24
carmine_m_p,"rojo",#d70040,215,0,64
carmine_pink,"rosa",#eb4c42,235,76,66
carmine_red,"rojo",#ff0038,255,0,56
